Training started for encdec_finetune_dec3 with lam_c=1, lam_s=1, lam_t=1
[Epoch 0/20] [Batch 0/4] [Mean losses over 10 frames for 1 batches] [C loss: 40.03956184387207, S loss: 78.30108642578125, T loss: 2.1870829820632935, total loss: 120.52773056030273]
[Epoch 0/20] [Batch 1/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.53786125183105, S loss: 86.25173950195312, T loss: 1.9244209766387939, total loss: 123.71402206420899]
[Epoch 0/20] [Batch 2/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.397555923461915, S loss: 72.96561584472656, T loss: 1.532489013671875, total loss: 108.89566192626953]
[Epoch 0/20] [Batch 3/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.49618835449219, S loss: 99.01699295043946, T loss: 1.437946367263794, total loss: 137.9511260986328]
[Epoch 1/20] [Batch 4/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.38489952087402, S loss: 98.45688705444336, T loss: 1.5959147214889526, total loss: 133.4376983642578]
[Epoch 1/20] [Batch 5/4] [Mean losses over 10 frames for 1 batches] [C loss: 38.244462203979495, S loss: 114.35017318725586, T loss: 1.2850648045539856, total loss: 153.87970428466798]
[Epoch 1/20] [Batch 6/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.96856803894043, S loss: 111.53342971801757, T loss: 1.4959925174713136, total loss: 150.99798889160155]
[Epoch 1/20] [Batch 7/4] [Mean losses over 10 frames for 1 batches] [C loss: 30.5118616104126, S loss: 132.78028564453126, T loss: 1.4783672928810119, total loss: 164.77051239013673]
[Epoch 2/20] [Batch 8/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.06842384338379, S loss: 149.2981964111328, T loss: 1.4393100619316102, total loss: 186.80592498779296]
[Epoch 2/20] [Batch 9/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.05508728027344, S loss: 131.33767395019532, T loss: 1.1351879358291626, total loss: 169.52794952392577]
[Epoch 2/20] [Batch 10/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.568871879577635, S loss: 134.14689025878906, T loss: 1.271330749988556, total loss: 167.98709564208986]
[Epoch 2/20] [Batch 11/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.53252182006836, S loss: 112.53282623291015, T loss: 0.8879675924777984, total loss: 148.95331573486328]
[Epoch 3/20] [Batch 12/4] [Mean losses over 10 frames for 1 batches] [C loss: 38.35740203857422, S loss: 141.54394989013673, T loss: 1.4571522355079651, total loss: 181.35850677490234]
[Epoch 3/20] [Batch 13/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.53329162597656, S loss: 134.7643035888672, T loss: 1.2074117064476013, total loss: 168.5050079345703]
[Epoch 3/20] [Batch 14/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.34316825866699, S loss: 166.6154006958008, T loss: 1.4753461599349975, total loss: 203.4339157104492]
[Epoch 3/20] [Batch 15/4] [Mean losses over 10 frames for 1 batches] [C loss: 37.06891021728516, S loss: 153.90574951171874, T loss: 0.8479908108711243, total loss: 191.82264862060546]
[Epoch 4/20] [Batch 16/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.373315048217776, S loss: 126.69210281372071, T loss: 0.8932028234004974, total loss: 160.9586181640625]
[Epoch 4/20] [Batch 17/4] [Mean losses over 10 frames for 1 batches] [C loss: 36.67892761230469, S loss: 158.7759002685547, T loss: 1.283172607421875, total loss: 196.73800354003907]
[Epoch 4/20] [Batch 18/4] [Mean losses over 10 frames for 1 batches] [C loss: 32.0011043548584, S loss: 132.2760787963867, T loss: 0.9765498042106628, total loss: 165.25373077392578]
[Epoch 4/20] [Batch 19/4] [Mean losses over 10 frames for 1 batches] [C loss: 40.01999168395996, S loss: 174.6609893798828, T loss: 1.2745903611183167, total loss: 215.95557098388673]
[Epoch 4/20] [Batch 19/4] [Mean validation losses for the model] [C loss: 38.535671615600585, S loss: 183.72472534179687, T loss: 1.130747652053833, total loss: 223.39114532470703]
[Epoch 5/20] [Batch 20/4] [Mean losses over 10 frames for 1 batches] [C loss: 34.74514884948731, S loss: 137.3997314453125, T loss: 1.0146558165550232, total loss: 173.15953674316407]
[Epoch 5/20] [Batch 21/4] [Mean losses over 10 frames for 1 batches] [C loss: 35.90882530212402, S loss: 125.56664199829102, T loss: 0.9026116311550141, total loss: 162.37808074951172]
[Epoch 5/20] [Batch 22/4] [Mean losses over 10 frames for 1 batches] [C loss: 33.2907901763916, S loss: 142.63333740234376, T loss: 1.2246707081794739, total loss: 177.14879760742187]
