Training started for encdec_finetune_dec3_mario with lam_c=1, lam_s=1, lam_t=1
[Epoch 0/20] [Batch 0/2] [Mean losses over 10 frames for 1 batches] [C loss: 88.82950286865234, S loss: 226.12639770507812, T loss: 0.1433132454752922, total loss: 315.09921875]
[Epoch 0/20] [Batch 1/2] [Mean losses over 10 frames for 1 batches] [C loss: 91.29276733398437, S loss: 220.2760208129883, T loss: 0.2518254056572914, total loss: 311.82061462402345]
[Epoch 1/20] [Batch 2/2] [Mean losses over 10 frames for 1 batches] [C loss: 89.67348861694336, S loss: 302.8171081542969, T loss: 0.16647060662508012, total loss: 392.6570709228516]
[Epoch 1/20] [Batch 3/2] [Mean losses over 10 frames for 1 batches] [C loss: 87.72509078979492, S loss: 183.8370101928711, T loss: 0.2115810066461563, total loss: 271.7736785888672]
[Epoch 2/20] [Batch 4/2] [Mean losses over 10 frames for 1 batches] [C loss: 81.94150848388672, S loss: 211.50757293701173, T loss: 0.18109289407730103, total loss: 293.63017578125]
[Epoch 2/20] [Batch 5/2] [Mean losses over 10 frames for 1 batches] [C loss: 80.90484390258788, S loss: 221.1243667602539, T loss: 0.22865521758794785, total loss: 302.25786743164065]
[Epoch 3/20] [Batch 6/2] [Mean losses over 10 frames for 1 batches] [C loss: 78.55887603759766, S loss: 227.68697814941407, T loss: 0.20519998520612717, total loss: 306.4510559082031]
[Epoch 3/20] [Batch 7/2] [Mean losses over 10 frames for 1 batches] [C loss: 81.12850723266601, S loss: 243.69837036132813, T loss: 0.22452235519886016, total loss: 325.05140075683596]
[Epoch 4/20] [Batch 8/2] [Mean losses over 10 frames for 1 batches] [C loss: 74.13092193603515, S loss: 257.03052215576173, T loss: 0.2923122555017471, total loss: 331.45375366210936]
[Epoch 4/20] [Batch 9/2] [Mean losses over 10 frames for 1 batches] [C loss: 78.94530563354492, S loss: 224.9650421142578, T loss: 0.2168219804763794, total loss: 304.1271697998047]
[Epoch 4/20] [Batch 9/2] [Mean validation losses for the model] [C loss: 84.60817031860351, S loss: 226.15907135009766, T loss: 0.1346673011779785, total loss: 310.90191345214845]
[Epoch 5/20] [Batch 10/2] [Mean losses over 10 frames for 1 batches] [C loss: 76.97434463500977, S loss: 188.22266693115233, T loss: 0.2639993607997894, total loss: 265.4610076904297]
[Epoch 5/20] [Batch 11/2] [Mean losses over 10 frames for 1 batches] [C loss: 74.1597671508789, S loss: 228.14676055908203, T loss: 0.1680912747979164, total loss: 302.47461853027346]
[Epoch 6/20] [Batch 12/2] [Mean losses over 10 frames for 1 batches] [C loss: 82.77840270996094, S loss: 344.9577209472656, T loss: 0.2490791290998459, total loss: 427.985205078125]
[Epoch 6/20] [Batch 13/2] [Mean losses over 10 frames for 1 batches] [C loss: 75.63997421264648, S loss: 248.49260406494142, T loss: 0.18078752160072326, total loss: 324.31336364746096]
[Epoch 7/20] [Batch 14/2] [Mean losses over 10 frames for 1 batches] [C loss: 70.30705413818359, S loss: 253.9594299316406, T loss: 0.1625701904296875, total loss: 324.429052734375]
[Epoch 7/20] [Batch 15/2] [Mean losses over 10 frames for 1 batches] [C loss: 79.6006690979004, S loss: 325.2023681640625, T loss: 0.33076079487800597, total loss: 405.13380737304686]
[Epoch 8/20] [Batch 16/2] [Mean losses over 10 frames for 1 batches] [C loss: 69.46500015258789, S loss: 328.85389709472656, T loss: 0.131817826628685, total loss: 398.4507171630859]
[Epoch 8/20] [Batch 17/2] [Mean losses over 10 frames for 1 batches] [C loss: 74.50663452148437, S loss: 290.5285675048828, T loss: 0.35781375765800477, total loss: 365.3930206298828]
[Epoch 9/20] [Batch 18/2] [Mean losses over 10 frames for 1 batches] [C loss: 70.45487060546876, S loss: 346.5689331054688, T loss: 0.1515956073999405, total loss: 417.17540283203124]
[Epoch 9/20] [Batch 19/2] [Mean losses over 10 frames for 1 batches] [C loss: 70.55774536132813, S loss: 276.88129272460935, T loss: 0.28935580849647524, total loss: 347.7283935546875]
[Epoch 9/20] [Batch 19/2] [Mean validation losses for the model] [C loss: 75.7392707824707, S loss: 398.7825958251953, T loss: 0.21957105547189712, total loss: 474.7414489746094]
[Epoch 10/20] [Batch 20/2] [Mean losses over 10 frames for 1 batches] [C loss: 65.73495178222656, S loss: 325.65358276367186, T loss: 0.13425004705786706, total loss: 391.5227874755859]
[Epoch 10/20] [Batch 21/2] [Mean losses over 10 frames for 1 batches] [C loss: 77.04509506225585, S loss: 365.1758728027344, T loss: 0.47440562546253207, total loss: 442.69537658691405]
[Epoch 11/20] [Batch 22/2] [Mean losses over 10 frames for 1 batches] [C loss: 72.53968734741211, S loss: 371.1258148193359, T loss: 0.18592107594013213, total loss: 443.85142822265624]
[Epoch 11/20] [Batch 23/2] [Mean losses over 10 frames for 1 batches] [C loss: 71.5411880493164, S loss: 437.9738739013672, T loss: 0.4853111684322357, total loss: 510.00037536621096]
[Epoch 12/20] [Batch 24/2] [Mean losses over 10 frames for 1 batches] [C loss: 67.72468185424805, S loss: 323.6294219970703, T loss: 0.23329247832298278, total loss: 391.58739318847654]
[Epoch 12/20] [Batch 25/2] [Mean losses over 10 frames for 1 batches] [C loss: 64.19872283935547, S loss: 411.4464447021484, T loss: 0.2558271110057831, total loss: 475.9009948730469]
[Epoch 13/20] [Batch 26/2] [Mean losses over 10 frames for 1 batches] [C loss: 73.8356201171875, S loss: 443.36789855957034, T loss: 0.25087393820285797, total loss: 517.4543975830078]
